	Unnamed: 0	Issue ID	Title
0	0	88672	friend class template declaration in a class template is ignored
1	1	88746	structs: internal compiler error: in output_constructor_regular_field, at varasm.c:5030
2	2	88744	class non-type template parameters doesn't work with default template parameters
3	3	88816	Constructor calls itself recursively
4	4	88825	[7/8/9 Regression] ICE on (invalid) C++11 code: tree check: expected class ‘type’, have ‘exceptional’ (error_mark) in can_do_nrvo_p, at cp/typeck.c:9361
5	5	89220	Inconsistent behaviour of class template type deduction
6	6	88995	[8/9 Regression] internal compiler error: in lookup_template_class_1, at cp/pt.c:9471
7	7	88699	[9 Regression] tree check fail: expected function_decl, have using_decl in add_method, at cp/class.c:1137
8	8	88741	"[9 Regression] Spurious ""too long"" error inside template"
9	9	88830	[9 Regression] ice in maybe_emit_vtables
10	10	89036	[8 Regression] ICE if destructor has a requires
11	11	89217	[9 Regression] ICE tree check: expected constructor, have error_mark in split_nonconstant_init_1
12	12	88787	[9 regression] C++ constexpr seems to not get expanded
13	13	88969	[9 Regression] ICE in build_op_delete_call, at cp/call.c:6509
14	14	88864	default template arguments not merged across all declarations
15	15	88866	[9 Regression] g++.dg/cpp0x/variadic126.C fails with -std=c++2a
16	16	88865	[[no_unique_address]] leads to sizeof(T) == 0, which cannot be
17	17	88692	"[9 Regression] Spurious ""redundant move in return statement"""
18	18	88875	[9 regression] initializer_list and explicit ctor
19	19	88977	__builtin_is_constant_evaluated() as function template argument causes substitution failure
20	20	89257	Bad optimisation at -O3 with vector of pairs
21	21	89024	[7 Regression] ICE testing convertibility of incomplete enumeration types
22	22	89083	[9 Regression] ICE in reshape_init_r, at cp/decl.c:6172
23	23	88757	[9 Regression] GCC wrongly treats dependent name as a type when it should be treated as a value
24	24	88815	[9 Regression] is_constexpr (based on narrowing conversion and expression SFINAE) broken
25	25	89056	Optimizer generates bad code for non-void function that fails to return a value
26	26	88988	[8 Regression] ICE: Segmentation fault (in lookup_name_real_1)
27	27	89158	[8 Regression] by-value capture of ICE variable isn't an lvalue?
28	28	89633	Inner class cannot pass a lambda to a template function in outer class
29	29	89119	[7 Regression] internal compiler error: in tsubst_copy with RANGE_EXPR
30	30	89105	-Wabi warns for functions with internal linkage
