Bug_id,Project,Category,Subcategory,Creation Date,Symptom,Root Cause(patch),Importance,Title
85464,GCC,object,overloading,2018/4/19,Diagnostic,Assignment Error,P2 normal,[7 Regression] Wignored-qualifiers is emitted by cc1plus without diagnostics when triggered by a cast operator.
91466,GCC,compiletime_polymorphic,constraints and concepts,2019/8/15,Reject Valid,Overlooked Case,P3 normal,"[concepts] indicates ""used in its own initializer"" when not, constraint order change passes compilation."
19452,LLVM,compiletime_polymorphic,template instantiation,2014/4/16,Accept Invalid,Others,P normal,Invalid candidate function for unary operator on scoped enum
32172,LLVM,compiletime_polymorphic,template(no instantiation),2017/3/7,Crash,Overlooked Case,P release blocker,Segmentation fault with structured bindings inside for-loop inside template class
102592,GCC,compiletime_polymorphic,constraints and concepts,2021/10/4,Wrong Code,Assignment Error,P2 normal,[11/12 Regression] heap-use-after-free when constructing std::filesystem::path from iterator pair
28039,LLVM,compiletime_polymorphic,template instantiation,2016/6/7,Reject Valid,API Misuse,P normal,Local classes must have an associated namespace since C++14
34796,LLVM,compiletime_polymorphic,template instantiation,2017/10/1,Wrong Code,Incorrect Branch,P enhancement,explicit instantiation declaration of class template causes static constexpr member to be considered not a constant expression
89331,GCC,inheritance,member access(inherit),2019/2/13,Crash,Overlooked Case,P2 normal,"[8/9 Regression] internal compiler error: in build_simple_base_path, at cp/class.c:589"
105925,GCC,object,initialization & destruction,2022/6/11,Reject Valid,Assignment Error,P3 normal,"[11/12/13 Regression] Could not convert '{{0, 0.0}}' from '<brace-enclosed initializer list>' to 'X' since"
91921,GCC,runtime_polymorphic,override control,2019/9/26,Diagnostic,Error Message,P3 normal,Incomplete -Woverloaded-virtual warning when base class is in system header
100474,GCC,compiletime_polymorphic,constraints and concepts,2021/5/7,Crash,Overlooked Case,P3 normal,"ICE: in diagnose_trait_expr, at cp/constraint.cc:3706"
100644,GCC,object,copy & move,2021/5/18,Reject Valid,Overlooked Case,P3 normal,[11/12 regression] Deleted move constructor prevents templated constructor from being used
97533,GCC,object,overloading,2020/10/22,Crash,Incorrect Branch,P3 normal,ICE encountering operator() within lambda expression within templated struct
82294,GCC,object,initialization & destruction,2017/9/22,Others,Incorrect Branch,P3 normal,Array of objects with constexpr constructors initialized from space-inefficient memory image
36810,LLVM,encapsulation,friends,2018/3/19,Others,Overlooked Case,P enhancement,c++ visibility for specialization is not correct
87425,GCC,object,copy & move,2018/9/24,Crash,Incorrect Branch,P3 normal,[9 Regression] ICE with virtual assignment operator
32898,LLVM,object,overloading,2017/5/2,Reject Valid,API Misuse,P normal,Overloaded method pointer's public/private access isn't resolved correctly
48545,LLVM,object,initialization & destruction,2020/12/17,Reject Valid,API Misuse,P normal,Access failure to own private inherited constructor for prvalue direct-initialization
19993,LLVM,encapsulation,member access,2014/6/10,Crash,API Misuse,P normal,clang Crashes on invalid code
104173,GCC,object,overloading,2022/1/21,Reject Valid,Incorrect Branch,P1 normal,[12 Regression] wrong overload resolution for ref-qualifiers
38671,LLVM,object,initialization & destruction,2018/8/22,Crash,API Misuse,P enhancement,"""destructor cannot be declared as a template"" leads to segfault in Sema::LookupSpecialMember"
83374,GCC,inheritance,multiple inheritance,2017/12/11,Accept Invalid,Overlooked Case,P3 normal,[DR1813] Bad std::is_standard_layout with two base class subobjects of the same type
85067,GCC,object,copy & move,2018/3/24,Crash,Error Code Logic,P4 normal,[8 Regression] ICE with volatile parameter in defaulted copy-constructor
30305,LLVM,inheritance,member access(inherit),2016/9/7,Accept Invalid,Overlooked Case,P normal,Inheriting constructors import special members -- Causes runtime slicing
21351,LLVM,compiletime_polymorphic,template instantiation,2014/10/22,Wrong Code,Error Code Logic,P normal,Incorrect name mangling for a template class method reference
93138,GCC,encapsulation,member access,2020/1/2,Reject Valid,API Misuse,P3 normal,[10 regression] elaborated type specifier visibility check problem
