bug_id,Creation Date,Last Modified Date,Importance,Symptom,Title
97533,2020-10-22,2021-04-27,P3 normal ,crash,ICE encountering operator() within lambda expression within templated struct
85464,2018-04-19,2018-04-19,P2 normal ,diagnostic,[7 Regression] Wignored-qualifiers is emitted by cc1plus without diagnostics when triggered by a cast operator.
90951,2019-06-20,2020-02-26,P2 normal ,rejects_valid,[8/9 Regression] error initializing a constexpr array of a struct with const member
93138,2020-01-02,2020-01-06,P3 normal ,others,[10 regression] elaborated type specifier visibility check problem
102592,2021-10-04,2021-10-13,P2 normal ,wrong_output,[11/12 Regression] heap-use-after-free when constructing std::filesystem::path from iterator pair
104173,2022-01-21,2022-01-24,P1 normal ,rejects_valid,[12 Regression] wrong overload resolution for ref-qualifiers
91921,2019-09-26,2020-02-13,P3 normal ,diagnostic,Incomplete -Woverloaded-virtual warning when base class is in system header
89512,2019-02-26,2019-08-30,P2 normal ,crash,"[7 Regression] ICE in get_expr_operands, at tree-ssa-operands.c:882"
92082,2019-10-13,2020-01-27,P3 normal ,others,ICE with concepts
89331,2019-02-13,2019-04-03,P2 normal ,crash,"[8/9 Regression] internal compiler error: in build_simple_base_path, at cp/class.c:589"
87425,2018-09-24,2018-09-25,P3 normal ,crash,[9 Regression] ICE with virtual assignment operator
100474,2021-05-07,2023-05-22,P3 normal ,crash,"ICE: in diagnose_trait_expr, at cp/constraint.cc:3706"
100644,2021-05-18,2022-07-19,P3 normal ,rejects_valid,[11/12 regression] Deleted move constructor prevents templated constructor from being used
82294,2017-09-22,2019-01-08,P3 normal ,others,Array of objects with constexpr constructors initialized from space-inefficient memory image
105925,2022-06-11,2022-06-24,P3 normal ,rejects_valid,"[11/12/13 Regression] Could not convert '{{0, 0.0}}' from '<brace-enclosed initializer list>' to 'X' since "
91466,2019-08-15,2020-01-29,P3 normal ,rejects_valid,"[concepts] indicates ""used in its own initializer"" when not, constraint order change passes compilation."
85067,2018-03-24,2018-03-27,P4 normal ,crash,[8 Regression] ICE with volatile parameter in defaulted copy-constructor
85866,2018-05-22,2018-05-23,P3 normal ,rejects_valid,[8/9 Regression] too few arguments to function when sfinae on calling pointer to member function
83374,2017-12-11,2019-07-05,P3 normal ,accepts_invalid,[DR1813] Bad std::is_standard_layout with two base class subobjects of the same type
79503,2017-02-14,2017-02-20,P3 normal ,rejects_valid,[7 Regression] [new inheriting ctors] spurious bad candidate from same or derived type
79377,2017-02-04,2017-02-15,P2 normal ,crash,[6 Regression] ICE with increment operator in -fpermissive mode
90801,2019-06-09,2024-11-19,P3 normal ,efficient/hang,A recurring hang
85901,2018-05-24,2020-10-15,P3 normal ,diagnostic,"Error message contains ""#'offset_type' not supported by simple_type_specifier#)#'offset_type' not supported by direct_abstract_declarator#"""
82643,2017-10-20,2022-03-11,P3 normal ,rejects_valid,lambda capture breaks constexpr-ness of non-static const constexpr member call on non-constexpr value/variable
91933,2019-09-30,2022-05-13,P2 normal ,rejects_valid,"[9 Regression] ICE: tree check: expected class 'type', have 'exceptional' (error_mark) in build_simple_base_path, at cp/class.c:541"
